i,Time,Data
530,10.6,65472.0
531,10.62,65488.0
532,10.64,65480.0
533,10.66,65488.0
534,10.68,65488.0
535,10.7,65488.0
536,10.72,65.0
537,10.74,59.0
538,10.76,60.0
539,10.78,21500.0
540,10.8,64.0
541,10.82,62.0
542,10.84,61.0
543,10.86,61.0
544,10.88,65480.0
545,10.9,65472.0
546,10.92,62.0
547,10.94,60.0
548,10.96,65472.0
549,10.98,65488.0
550,11.0,65472.0
551,11.02,64.0
552,11.04,60.0
553,11.06,65464.0
554,11.08,65480.0
555,11.1,69.0
556,11.12,62.0
557,11.14,59.0
558,11.16,65448.0
559,11.18,65480.0
560,11.2,66.0
561,11.22,62.0
562,11.24,61.0
563,11.26,65468.0
564,11.28,65488.0
565,11.3,65464.0
566,11.32,62.0
567,11.34,59.0
568,11.36,65472.0
569,11.38,65472.0
570,11.4,65472.0
571,11.42,66.0
572,11.44,60.0
573,11.46,65472.0
574,11.48,65476.0
575,11.5,65460.0
576,11.52,64.0
577,11.54,60.0
578,11.56,65472.0
579,11.58,65480.0
580,11.6,65472.0
581,11.62,65.0
582,11.64,61.0
583,11.66,65464.0
584,11.68,65472.0
585,11.7,65484.0
586,11.72,65.0
587,11.74,61.0
588,11.76,65472.0
589,11.78,65472.0
590,11.8,13316.0
591,11.82,63.0
592,11.84,60.0
593,11.86,65472.0
594,11.88,65472.0
595,11.9,65472.0
596,11.92,63.0
597,11.94,60.0
598,11.96,65472.0
599,11.98,65480.0
600,12.0,65480.0
601,12.02,63.0
602,12.04,60.0
603,12.06,65472.0
604,12.08,65480.0
605,12.1,65452.0
606,12.12,64.0
607,12.14,60.0
608,12.16,65464.0
609,12.18,65472.0
610,12.2,65464.0
611,12.22,64.0
612,12.24,60.0
613,12.26,65480.0
614,12.28,65472.0
615,12.3,65472.0
616,12.32,65.0
617,12.34,62.0
618,12.36,65480.0
619,12.38,65472.0
620,12.4,65484.0
621,12.42,65.0
622,12.44,60.0
623,12.46,65472.0
624,12.48,65500.0
625,12.5,65480.0
626,12.52,66.0
627,12.54,61.0
628,12.56,65472.0
629,12.58,65472.0
630,12.6,65476.0
631,12.62,66.0
632,12.64,60.0
633,12.66,65476.0
634,12.68,65472.0
635,12.7,65472.0
636,12.72,64.0
637,12.74,61.0
638,12.76,65472.0
639,12.78,65492.0
640,12.8,65480.0
641,12.82,64.0
642,12.84,60.0
643,12.86,65472.0
644,12.88,65476.0
645,12.9,65472.0
646,12.92,64.0
647,12.94,61.0
648,12.96,65472.0
649,12.98,65480.0
650,13.0,65472.0
651,13.02,64.0
652,13.04,60.0
653,13.06,65464.0
654,13.08,65472.0
655,13.1,65472.0
656,13.12,65.0
657,13.14,60.0
658,13.16,65472.0
659,13.18,65480.0
660,13.2,65472.0
661,13.22,65.0
662,13.24,60.0
663,13.26,65464.0
664,13.28,65476.0
665,13.3,65472.0
666,13.32,64.0
667,13.34,60.0
668,13.36,61.0
669,13.38,65476.0
670,13.4,65472.0
671,13.42,66.0
672,13.44,60.0
673,13.46,60.0
674,13.48,65476.0
675,13.5,65472.0
676,13.52,65.0
677,13.54,60.0
678,13.56,65472.0
679,13.58,65472.0
680,13.6,65472.0
681,13.62,63.0
682,13.64,59.0
683,13.66,65472.0
684,13.68,65484.0
685,13.7,65472.0
686,13.72,64.0
687,13.74,60.0
688,13.76,65472.0
689,13.78,65472.0
690,13.8,65472.0
691,13.82,66.0
692,13.84,61.0
693,13.86,65456.0
694,13.88,65472.0
695,13.9,65488.0
696,13.92,65.0
